ID,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,"N.Asset/N.Premium
(2 yeara ago)",Y0,Y
2012_20010,67,35,16,2,90,3,1,1,60,6,2,-7,2,85101,29651,2.870088699,1,pos
2013_20010,79,40,33,3,89,2.5,17,17,58,5,-2,0,11,99980,39514,2.530242446,1,pos
2014_20010,84,46,44,3,89,2.1,24,24,64,8,0,-2,8,124078,56889,2.181054334,1,pos
2015_20010,90,49,12,2,98,1.6,4,4,64,5,2,3,6,129182,63859,2.022925508,1,pos
2016_20010,99,54,4,2,101,1.6,-4,-4,73,10,4,8,-1,123769,66369,1.864861607,0,neg
2017_20010,154,51,6,3,96,1.7,13,13,73,9,1,5,1,139833,70652,1.979179641,0,neg
2012_14134,84,81,999,0,33,0,999,999,82,70,0,0,0,5002,4061,1.231716326,0,neg
2013_14134,269,226,227,0,58,0.6,17,17,99,85,-2,0,0,5868,13263,0.442433838,0,neg
2014_14134,414,285,32,0,66,0.8,5,5,168,196,4,-2,-1,6141,17499,0.350934339,0,neg
2015_14134,440,171,-13,34,81,0.2,45,45,94,70,-8,2,-5,8929,15267,0.584856226,0,neg
2016_14134,410,141,1,0,86,0.3,22,22,92,64,-1,-11,-8,10927,15458,0.706883167,1,pos
2017_14134,371,121,-6,0,83,0.4,9,9,91,63,-1,0,-2,11957,14481,0.825702645,0,neg
2006_11711,53,7,999,0,244,2.3,97,-2,50,36,-4,11,0,9959,739,13.47631935,0,neg
2007_11711,478,125,999,47,102,4.2,-18,-18,86,45,3,-6,0,8197,10278,0.797528702,1,pos
2008_11711,999,185,67,66,96,4.6,13,13,125,50,-1,6,33,9253,17151,0.53950207,0,neg
2010_11711,99,13,54,99,1.2,47,1,70,5,17,13,10,20858,20582,0.593939394,34653.36735,0,neg
2011_11711,864,88,15,68,98,-0.2,28,2,68,5,16,18,6,26741,23632,1.131558903,0,neg
2012_11711,887,110,35,57,103,0,9,-8,80,0,17,19,11,29078,31981,0.909227354,0,neg
2013_11711,786,123,15,43,116,0.3,2,-22,95,2,28,25,10,29742,36624,0.812090433,0,neg
2014_11711,707,185,50,40,111,0.8,0,-11,96,27,15,28,14,29663,54973,0.539592163,0,neg
2015_11711,696,203,12,39,102,0.9,2,2,87,23,9,11,-12,30296,61409,0.493347881,0,neg
2016_11711,765,175,-10,39,98,0.9,4,4,85,28,-1,17,27,31545,55193,0.571539869,0,neg
2017_11711,934,138,-16,55,107,0.6,6,-26,84,14,40,23,20,33317,46126,0.722304123,0,neg
2008_12304,173,99,-21,0,82,5.3,15,15,81,27,4,4,19,29002,28682,1.011156823,0,neg
2011_12304,216,84,-7,0,102,3.7,-2,-2,85,30,8,12,-15,34337,28715,1.195786174,1,pos
2012_12304,294,70,-16,0,109,2.9,0,0,96,40,6,15,-15,34367,24027,1.43034919,0,neg
2013_12304,510,67,5,0,97,1.1,10,10,107,57,1,11,16,37935,25257,1.501959853,1,pos
2014_R 12304,760,75,13,0,87,0.2,1,1,126,83,2,4,31,38233,28588,1.33737932,1,pos
2015_12304,586,63,31,0,83,4.4,55,16,71,51,6,6,24,59285,37511,1.580469729,0,neg
2016_12304,572,65,13,0,80,1.8,10,10,159,69,0,9,5,65203,42491,1.534513191,0,neg
2017_12304,542,69,14,0,82,1.4,7,7,152,69,-1,0,-5,69876,48367,1.444704034,0,neg
2007_12304,179,144,999,0,84,5.7,0,0,80,27,1,0,0,25158,36281,0.693420799,0,neg
2006_10166,122,101,2,0,85,3.6,2,2,89,8,-4,-13,0,493866,499271,0.989174216,0,neg
2007_10166,150,100,1,0,93,3.3,2,2,95,18,1,-2,5,502817,503708,0.998231118,0,neg
2008_10166,115,87,14,0,90,3.5,31,6,94,16,4,4,20,656849,573646,1.145042413,0,neg
2011_10166,114,89,-7,0,106,2.9,-6,-6,109,15,11,16,-14,648219,574306,1.128699683,0,neg
2012_R 10166,119,83,-16,0,117,2.3,-11,-11,103,17,7,18,-16,578901,480536,1.204698503,0,neg
2013_10166,117,77,2,0,109,2.2,9,9,109,25,4,13,20,633604,488983,1.295758748,0,neg
2014_R 10166,133,80,12,0,98,1.6,8,8,102,25,2,6,34,684052,546741,1.251144509,0,neg
2015_10166,132,96,31,0,92,0.9,10,10,94,7,6,6,35,750936,717395,1.04675388,0,neg
2016_10166,146,100,13,1,85,2.1,8,8,108,26,-1,10,8,813828,812631,1.001472993,0,neg
2017_10166,150,103,14,1,81,1.9,10,10,110,27,-2,-1,-8,897371,925017,0.970112982,0,neg
2007_12305,184,131,999,0,83,5.6,3,3,79,24,1,0,0,41487,54422,0.762320385,0,neg
2008_12305,265,90,-21,0,78,5.2,15,15,82,26,4,4,17,47867,43023,1.11259094,0,neg
2011_12305,299,82,-7,0,104,3.9,-7,-7,96,29,9,12,-14,52543,43073,1.219859309,0,neg
2012_12305,304,74,-16,0,116,3,-7,-7,110,30,6,14,-16,48617,36040,1.348973363,0,neg
2013_12305,252,75,5,0,114,2.2,3,3,96,36,2,12,19,50291,37886,1.327429657,0,neg
2014_R 12305,234,80,13,0,100,1.9,6,6,93,39,2,5,34,53437,42882,1.246140572,0,neg
2015_12305,225,92,31,0,88,3.7,14,14,71,12,6,6,34,60934,56266,1.082963068,0,neg
2016_12305,264,90,13,0,80,2.8,16,16,91,34,-1,10,8,70493,63736,1.106015439,0,neg
2017_12305,308,90,14,0,78,2.3,15,15,92,34,-2,0,-7,80837,72550,1.114224673,0,neg
2006_11573,123,101,-25,0,101,3.6,86,10,75,1,-9,-3,-27,3638,3676,0.989662677,0,neg
2006_R 11573,114,91,-35,0,103,3.6,78,1,75,2,-11,-3,-39,3466,3167,1.094411115,0,neg
2007_11573,213,183,134,0,98,5.7,17,17,74,1,6,-2,6,4048,7418,0.54569965,1,pos
2008_11573,399,152,23,21,67,4.8,48,48,94,13,0,1,-5,6000,9114,0.658327847,0,neg
